	classnumber	day_of_year	genus	lat	lon	name	precipProbability	precipProbabilityPreviousDay	precipProbabilityPreviousDay2	precipProbabilityPreviousDay7	pressure	temperatureMax	temperatureMaxPrevDay1	temperatureMaxPrevDay2	temperatureMaxPrevDay7	temperatureMin	temperatureMinPrevDay1	temperatureMinPrevDay2	temperatureMinPrevDay7	time_observed_at
13163366	1	249	Ursus	54.7223666667	20.4895722222	Ursus	0.0	0.0	0.0	0.0	1015.0	58.93	64.33	60.73	76.92	46.34	55.33	55.33	51.72	2017-09-06 02:24:40
12729928	1	244	Ursus	44.6972417568	-110.4644080297	Ursus	0.15	0.62	0.23	0.6000000000000001	1023.35	73.34	66.32	75.38	67.67	41.34	44.64	42.28	41.07	2017-09-01 20:19:00
6613183	1	162	Ursus	59.3251883333	-135.5378283333	Ursus	0.0	0.0	0.0	0.0	1011.78	54.83	57.51	62.28	61.14	50.2	51.85	53.51	43.76	2017-06-12 04:49:26
7114471	1	151	Ursus	50.0834824788	-122.9315765559	Ursus	1.0	1.0	0.0	0.0	1011.04	55.36	50.16	76.58	54.55	42.26	42.83	38.15	28.09	2017-05-31 20:06:57
6085829	1	123	Ursus	64.2132843985	-145.7255597414	Ursus	0.07	0.0	0.0	0.0	995.69	53.44	56.36	53.61	51.51	41.04	33.59	35.62	34.31	2017-05-04 06:00:09
6085680	1	123	Ursus	64.2132541817	-145.7255971247	Ursus	0.07	0.0	0.0	0.0	995.69	53.44	56.37	53.62	51.51	41.04	33.59	35.62	34.32	2017-05-04 05:56:55
6827877	1	116	Ursus	37.8720999	-122.2684067	Ursus	0.18	0.0	0.0	0.61	1017.53	61.42	63.7	59.22	65.6	54.31	51.05	52.52	49.31	2017-04-27 00:53:00
5856734	1	109	Ursus	32.4406940863	-99.6915001051	Ursus	0.0	0.0	0.0	0.0	1012.3	85.04	82.38	83.3	70.89	62.39	56.17	61.64	59.36	2017-04-19 19:10:51
9334128	1	89	Ursus	50.394945	-119.0617	Ursus	0.39	1.0	1.0	0.0	1016.57	37.21	31.53	31.35	36.44	26.48	24.14	25.72	20.96	2017-03-30 18:53:25
22669854	1	331	Ursus	37.73278	-122.498795	Ursus	1.0	0.0	0.0	0.93	1011.35	54.38	57.19	57.94	58.91	50.18	45.48	43.52	55.63	2016-11-26 15:44:57
6092575	1	329	Ursus	25.7247822223	-100.3164527978	Ursus	0.0	0.0	0.0	0.0	1019.43	73.71	75.75	77.4	76.48	63.38	62.36	57.84	58.17	2016-11-24 18:35:00
3821696	1	211	Ursus	48.6799063942	-113.7354080217	Ursus	0.39	0.0	0.19	0.28	1015.0	72.62	73.06	70.22	70.17	44.61	40.61	39.56	40.05	2016-07-29 17:59:00
2313411	1	298	Ursus	50.688878	-115.113653	Ursus	0.0	0.0	0.48	0.0	1022.78	44.76	39.46	43.08	55.44	22.35	26.51	27.56	43.25	2015-10-25 20:30:13
2092546	1	283	Ursus	37.5093703	126.9516243	Ursus	0.0	0.0	0.0	0.0	1009.94	61.74	66.81	76.62	74.81	50.67	54.02	56.48	53.91	2015-10-10 14:33:53
19685066	1	222	Ursus	57.0750198732	-118.5498468301	Ursus														2015-08-10 18:12:00
1499714	1	136	Ursus	49.429809	-114.89211	Ursus	1.0	0.0	0.0	0.0	1013.61	49.55	50.45	44.03	52.94	34.92	36.34	31.31	24.36	2015-05-16 22:36:25
15819891	1	291	Ursus	48.5913771886	-113.4167715314	Ursus	0.0	0.0	0.27	0.8	1015.0	52.89	52.76	46.15	51.86	47.46	29.94	36.31	40.85	2014-10-18 18:10:00
15820332	1	290	Ursus	48.5913506981	-113.4175662392	Ursus	0.0	0.27	0.88	0.0	1015.0	52.75	46.14	56.04	62.05	29.92	36.3	38.95	36.09	2014-10-17 19:39:00
799840	1	194	Ursus	60.506061	-150.060439	Ursus	0.23	0.06	0.98	0.79	1015.0	57.46	57.71	59.62	60.29	45.41	46.39	47.96	49.43	2014-07-13 21:16:00
115154	1	234	Ursus	60.4671694703	-151.0738244187	Ursus	0.2	0.8	0.52	0.0	1017.54	61.1	53.93	57.44	69.69	47.7	50.18	49.07	51.45	2012-08-21 21:12:57
12393308	1	166	Ursus	44.90975	-110.4313666667	Ursus	0.0	0.54	0.55	0.87	1013.18	61.29	58.52	57.97	53.81	36.25	39.2	39.14	38.8	2011-06-16 01:42:00
9517162	1	227	Ursus	58.3019444	-134.4197221	Ursus	0.0	0.0	0.0	0.7000000000000001	1016.99	74.54	74.04	65.5	55.76	56.04	54.8	52.28	53.28	2010-08-15 19:28:00
28651732	1	210	Ursus	58.3103481014	-134.3795345713	Ursus	0.0	0.0	0.0	0.6900000000000001	1021.01	58.22	63.14	64.64	52.22	50.77	53.34	46.75	48.0	2010-07-29 17:28:00
21092016	1	160	Ursus	62.1724378925	-150.0998909645	Ursus	0.0	0.0	0.0	0.0	1016.81	57.05	57.03	62.15	74.07	43.85	47.31	47.08	46.2	2010-06-10 05:53:00
7641272	1	233	Ursus	18.9374441334	-98.1369316578	Ursus	0.0	0.0	0.0	0.0	1015.0	77.63	76.68	76.54	81.93	57.72	54.78	56.76	51.72	2009-08-21 21:30:00
25119036	2	134	Panthera	40.3542563218	-77.0009077508	Panthera	0.72	1.0	1.0	0.11	1011.12	55.16	49.85	53.06	79.93	47.32	43.97	45.69	51.6	2019-05-14 17:59:04
23761013	2	117	Panthera	75.599475729	-43.8147745006	Panthera	0.16	0.14	0.22	0.15	1030.04	9.63	10.04	10.38	-9.13	-8.21	-6.49	-11.8	-34.59	2019-04-27 22:30:01
23194821	2	116	Panthera	-16.4669090775	-68.1947587469	Panthera	0.36	0.39	0.51	0.51	1018.39	59.14	55.43	51.6	58.21	38.15	38.4	40.25	37.03	2019-04-26 14:11:07
22982662	2	113	Panthera	23.003313	113.312045	Panthera	0.1	0.62	0.9500000000000001	0.99	1010.03	92.38	86.71	82.17	75.34	73.6	74.53	74.78	66.18	2019-04-23 05:24:00
23946016	2	113	Panthera	16.5755020559	-95.3851318359	Panthera	0.02	0.0	0.01	0.05	1011.54	92.41	93.05	101.02	94.42	70.5	66.33	64.35	70.14	2019-04-22 23:00:00
